```jsonl
{"family":"monumento","entity_id":"monumento_1","start_s":5.0,"end_s":9.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible"}
{"family":"calle","entity_id":"calle_1","start_s":35.0,"end_s":40.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":35.0,"end_s":40.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":35.0,"end_s":40.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":35.0,"end_s":40.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":35.0,"end_s":40.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":40.0,"end_s":45.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":40.0,"end_s":45.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":40.0,"end_s":45.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":40.0,"end_s":45.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":40.0,"end_s":45.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":45.0,"end_s":50.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":45.0,"end_s":50.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":45.0,"end_s":50.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":45.0,"end_s":50.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":45.0,"end_s":50.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":50.0,"end_s":55.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":50.0,"end_s":55.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":50.0,"end_s":55.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":50.0,"end_s":55.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":50.0,"end_s":55.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":55.0,"end_s":60.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":55.0,"end_s":60.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":55.0,"end_s":60.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":55.0,"end_s":60.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":55.0,"end_s":60.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":60.0,"end_s":65.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":60.0,"end_s":65.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":60.0,"end_s":65.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":60.0,"end_s":65.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":60.0,"end_s":65.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":65.0,"end_s":70.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":65.0,"end_s":70.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":65.0,"end_s":70.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":65.0,"end_s":70.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":65.0,"end_s":70.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":70.0,"end_s":75.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":70.0,"end_s":75.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":70.0,"end_s":75.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":70.0,"end_s":75.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":70.0,"end_s":75.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":75.0,"end_s":80.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":75.0,"end_s":80.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":75.0,"end_s":80.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":75.0,"end_s":80.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":75.0,"end_s":80.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":80.0,"end_s":85.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":80.0,"end_s":85.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":80.0,"end_s":85.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":80.0,"end_s":85.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":80.0,"end_s":85.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":85.0,"end_s":90.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":85.0,"end_s":90.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":85.0,"end_s":90.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":85.0,"end_s":90.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":85.0,"end_s":90.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":90.0,"end_s":95.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":90.0,"end_s":95.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":90.0,"end_s":95.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":90.0,"end_s":95.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":90.0,"end_s":95.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":95.0,"end_s":100.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":95.0,"end_s":100.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":95.0,"end_s":100.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":95.0,"end_s":100.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":95.0,"end_s":100.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":100.0,"end_s":105.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":100.0,"end_s":105.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":100.0,"end_s":105.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":100.0,"end_s":105.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":100.0,"end_s":105.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":105.0,"end_s":110.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":105.0,"end_s":110.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":105.0,"end_s":110.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":105.0,"end_s":110.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":105.0,"end_s":110.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":110.0,"end_s":115.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":110.0,"end_s":115.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":110.0,"end_s":115.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":110.0,"end_s":115.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":110.0,"end_s":115.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":115.0,"end_s":120.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":115.0,"end_s":120.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":115.0,"end_s":120.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":115.0,"end_s":120.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":115.0,"end_s":120.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":120.0,"end_s":125.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":120.0,"end_s":125.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":120.0,"end_s":125.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":120.0,"end_s":125.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":120.0,"end_s":125.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":125.0,"end_s":130.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":125.0,"end_s":130.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":125.0,"end_s":130.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":125.0,"end_s":130.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":125.0,"end_s":130.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":130.0,"end_s":135.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":130.0,"end_s":135.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":130.0,"end_s":135.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":130.0,"end_s":135.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":130.0,"end_s":135.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"calle","entity_id":"calle_1","start_s":135.0,"end_s":137.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian street with people and cars"}
{"family":"edificio","entity_id":"edificio_1","start_s":135.0,"end_s":137.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Parisian buildings lining the street"}
{"family":"escaparate","entity_id":"escaparate_1","start_s":135.0,"end_s":137.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower shop facade with displays"}
{"family":"logo_marca","entity_id":"logo_marca_1","start_s":135.0,"end_s":137.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'FLEURISTE MARGUERITE et CAPUCINE' sign"}
{"family":"packaging","entity_id":"packaging_1","start_s":135.0,"end_s":137.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Flower wraps held by Mindy"}
{"family":"puente","entity_id":"puente_1","start_s":139.0,"end_s":140.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Pont de Bir-Hakeim with metro"}
{"family":"monumento","entity_id":"monumento_1","start_s":139.0,"end_s":140.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Eiffel Tower visible in background"}
{"family":"calle","entity_id":"calle_2","start_s":140.0,"end_s":142.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Aerial view of Parisian streets"}
{"family":"edificio","entity_id":"edificio_4","start_s":140.0,"end_s":142.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Aerial view of Parisian buildings"}
{"family":"edificio","entity_id":"edificio_2","start_s":142.0,"end_s":144.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Galerie Patrick Fourtin exterior"}
{"family":"logo_marca","entity_id":"logo_marca_2","start_s":142.0,"end_s":144.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"'GALERIE PATRICK FOURTIN' sign"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":145.0,"end_s":150.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":145.0,"end_s":150.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":145.0,"end_s":150.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":150.0,"end_s":155.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":150.0,"end_s":155.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":150.0,"end_s":155.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":155.0,"end_s":158.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"packaging","entity_id":"packaging_2","start_s":155.0,"end_s":158.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat with baby"}
{"family":"identificador_personal","entity_id":"identificador_personal_1","start_s":158.0,"end_s":159.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby Jack in car seat"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":159.0,"end_s":161.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"packaging","entity_id":"packaging_2","start_s":159.0,"end_s":161.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat with baby"}
{"family":"identificador_personal","entity_id":"identificador_personal_1","start_s":159.0,"end_s":161.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby Jack in car seat"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":161.0,"end_s":163.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"packaging","entity_id":"packaging_2","start_s":161.0,"end_s":163.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat with baby"}
{"family":"identificador_personal","entity_id":"identificador_personal_1","start_s":161.0,"end_s":163.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby Jack in car seat"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":163.0,"end_s":165.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"packaging","entity_id":"packaging_2","start_s":163.0,"end_s":165.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat with baby"}
{"family":"identificador_personal","entity_id":"identificador_personal_1","start_s":163.0,"end_s":165.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby Jack in car seat"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":165.0,"end_s":170.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":165.0,"end_s":170.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":165.0,"end_s":170.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":170.0,"end_s":175.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":170.0,"end_s":175.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":170.0,"end_s":175.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":175.0,"end_s":180.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":175.0,"end_s":180.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
{"family":"packaging","entity_id":"packaging_2","start_s":175.0,"end_s":180.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Baby car seat on desk"}
{"family":"interior_reconocible","entity_id":"interior_reconocible_1","start_s":180.0,"end_s":185.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Madeline's office interior"}
{"family":"artwork","entity_id":"artwork_1","start_s":180.0,"end_s":185.0,"l1_conf":0.9,"clearance_relevant":1,"evidence":"Painting on wall in Madeline's office"}
